Month,Passengers,MA_12,Pct_Change(%),Month_Num,Year
1949-01-01,112.0,,,1,1949
1949-02-01,118.0,,5.35714285714286,2,1949
1949-03-01,132.0,,11.864406779661007,3,1949
1949-04-01,129.0,,-2.2727272727272707,4,1949
1949-05-01,121.0,,-6.2015503875969,5,1949
1949-06-01,135.0,,11.570247933884303,6,1949
1949-07-01,148.0,,9.629629629629633,7,1949
1949-08-01,148.0,,0.0,8,1949
1949-09-01,136.0,,-8.108108108108103,9,1949
1949-10-01,119.0,,-12.5,10,1949
1949-11-01,104.0,,-12.605042016806722,11,1949
1949-12-01,118.0,126.66666666666667,13.461538461538458,12,1949
1950-01-01,115.0,126.91666666666667,-2.5423728813559365,1,1950
1950-02-01,126.0,127.58333333333333,9.565217391304337,2,1950
1950-03-01,141.0,128.33333333333334,11.904761904761907,3,1950
1950-04-01,135.0,128.83333333333334,-4.255319148936165,4,1950
1950-05-01,125.0,129.16666666666666,-7.4074074074074066,5,1950
1950-06-01,149.0,130.33333333333334,19.199999999999996,6,1950
1950-07-01,170.0,132.16666666666666,14.093959731543615,7,1950
1950-08-01,170.0,134.0,0.0,8,1950
1950-09-01,158.0,135.83333333333334,-7.058823529411762,9,1950
1950-10-01,133.0,137.0,-15.822784810126578,10,1950
1950-11-01,114.0,137.83333333333334,-14.28571428571429,11,1950
1950-12-01,140.0,139.66666666666666,22.807017543859654,12,1950
1951-01-01,145.0,142.16666666666666,3.571428571428581,1,1951
1951-02-01,150.0,144.16666666666666,3.4482758620689724,2,1951
1951-03-01,178.0,147.25,18.666666666666675,3,1951
1951-04-01,163.0,149.58333333333334,-8.42696629213483,4,1951
1951-05-01,172.0,153.5,5.521472392638027,5,1951
1951-06-01,178.0,155.91666666666666,3.488372093023262,6,1951
1951-07-01,199.0,158.33333333333334,11.79775280898876,7,1951
1951-08-01,199.0,160.75,0.0,8,1951
1951-09-01,184.0,162.91666666666666,-7.537688442211055,9,1951
1951-10-01,162.0,165.33333333333334,-11.956521739130432,10,1951
1951-11-01,146.0,168.0,-9.876543209876543,11,1951
1951-12-01,166.0,170.16666666666666,13.698630136986312,12,1951
1952-01-01,171.0,172.33333333333334,3.0120481927710774,1,1952
1952-02-01,180.0,174.83333333333334,5.263157894736836,2,1952
1952-03-01,193.0,176.08333333333334,7.222222222222219,3,1952
1952-04-01,181.0,177.58333333333334,-6.217616580310881,4,1952
1952-05-01,183.0,178.5,1.104972375690605,5,1952
1952-06-01,218.0,181.83333333333334,19.12568306010929,6,1952
1952-07-01,230.0,184.41666666666666,5.504587155963292,7,1952
1952-08-01,242.0,188.0,5.217391304347818,8,1952
1952-09-01,209.0,190.08333333333334,-13.636363636363635,9,1952
1952-10-01,191.0,192.5,-8.61244019138756,10,1952
1952-11-01,172.0,194.66666666666666,-9.947643979057597,11,1952
1952-12-01,194.0,197.0,12.790697674418606,12,1952
1953-01-01,196.0,199.08333333333334,1.0309278350515427,1,1953
1953-02-01,196.0,200.41666666666666,0.0,2,1953
1953-03-01,236.0,204.0,20.408163265306122,3,1953
1953-04-01,235.0,208.5,-0.4237288135593209,4,1953
1953-05-01,229.0,212.33333333333334,-2.553191489361706,5,1953
1953-06-01,243.0,214.41666666666666,6.113537117903922,6,1953
1953-07-01,264.0,217.25,8.64197530864197,7,1953
1953-08-01,272.0,219.75,3.0303030303030276,8,1953
1953-09-01,237.0,222.08333333333334,-12.867647058823529,9,1953
1953-10-01,211.0,223.75,-10.970464135021096,10,1953
1953-11-01,180.0,224.41666666666666,-14.691943127962082,11,1953
1953-12-01,201.0,225.0,11.66666666666667,12,1953
1954-01-01,204.0,225.66666666666666,1.4925373134328401,1,1954
1954-02-01,188.0,225.0,-7.843137254901967,2,1954
1954-03-01,235.0,224.91666666666666,25.0,3,1954
1954-04-01,227.0,224.25,-3.404255319148941,4,1954
1954-05-01,234.0,224.66666666666666,3.083700440528636,5,1954
1954-06-01,264.0,226.41666666666666,12.82051282051282,6,1954
1954-07-01,302.0,229.58333333333334,14.393939393939403,7,1954
1954-08-01,293.0,231.33333333333334,-2.98013245033113,8,1954
1954-09-01,259.0,233.16666666666666,-11.604095563139927,9,1954
1954-10-01,229.0,234.66666666666666,-11.583011583011583,10,1954
1954-11-01,203.0,236.58333333333334,-11.353711790393017,11,1954
1954-12-01,229.0,238.91666666666666,12.807881773399021,12,1954
1955-01-01,242.0,242.08333333333334,5.676855895196509,1,1955
1955-02-01,233.0,245.83333333333334,-3.7190082644628086,2,1955
1955-03-01,267.0,248.5,14.592274678111593,3,1955
1955-04-01,269.0,252.0,0.7490636704119868,4,1955
1955-05-01,270.0,255.0,0.3717472118959009,5,1955
1955-06-01,315.0,259.25,16.666666666666675,6,1955
1955-07-01,364.0,264.4166666666667,15.555555555555545,7,1955
1955-08-01,347.0,268.9166666666667,-4.670329670329664,8,1955
1955-09-01,312.0,273.3333333333333,-10.086455331412104,9,1955
